order_year,order_month,orders,monthly_revenue,monthly_profit
2014,1,79,14236.89,2450.19
2014,2,46,4519.89,862.31
2014,3,157,55691.01,498.73
2014,4,135,28295.34,3488.84
2014,5,122,23648.29,2738.71
2014,6,135,34595.13,4976.52
2014,7,143,33946.39,-841.48
2014,8,153,27909.47,5318.1
2014,9,268,81777.35,8328.1
2014,10,159,31453.39,3448.26
2014,11,318,78628.72,9292.13
2014,12,278,69545.62,8983.57
2015,1,58,18174.08,-3281.01
2015,2,64,11951.41,2813.85
2015,3,138,38726.25,9732.1
2015,4,160,34195.21,4187.5
2015,5,146,30131.69,4667.87
2015,6,138,24797.29,3335.56
2015,7,140,28765.32,3288.65
2015,8,159,36898.33,5355.81
2015,9,293,64595.92,8209.16
2015,10,166,31404.92,2817.37
2015,11,324,75972.56,12474.79
2015,12,316,74919.52,8016.97
2016,1,89,18542.49,2824.82
2016,2,83,22978.82,5004.58
2016,3,163,51715.88,3611.97
2016,4,170,38750.04,2977.81
2016,5,225,56987.73,8662.15
2016,6,199,40344.53,4750.38
2016,7,201,39261.96,4432.88
2016,8,176,31115.37,2062.07
2016,9,363,73410.02,9328.66
2016,10,196,59687.75,16243.14
2016,11,370,79411.97,4011.41
2016,12,352,96999.04,17885.31
2017,1,155,43971.37,7140.44
2017,2,107,20301.13,1613.87
2017,3,238,58872.35,14751.89
2017,4,203,36521.54,933.29
2017,5,242,44261.11,6342.58
2017,6,245,52981.73,8223.34
2017,7,226,45264.42,6952.62
2017,8,218,63120.89,9040.96
2017,9,459,87866.65,10991.56
2017,10,298,77776.92,9275.28
2017,11,459,118447.83,9690.1
2017,12,462,83829.32,8483.35
