category,sub-category,orders,revenue,profit,avg_margin
Technology,Copiers,68,149528.03,55617.82,31.72
Technology,Phones,889,330007.05,44515.73,11.92
Technology,Accessories,775,167380.32,41936.64,21.82
Office Supplies,Paper,1370,78479.21,34053.57,42.56
Office Supplies,Binders,1523,203412.73,30221.76,-19.96
Furniture,Chairs,617,328449.1,26590.17,4.39
Office Supplies,Storage,846,223843.61,21278.83,8.91
Office Supplies,Appliances,466,107532.16,18138.01,-15.69
Furniture,Furnishings,957,91705.16,13059.14,13.71
Office Supplies,Envelopes,254,16476.4,6964.18,42.31
